gold: 0, lumber: 0, oil: 0
gold: 1000, lumber: 1000, oil: 0
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1000, lumber: 1000, oil: 1500
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 837, lumber: 1087, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 837, lumber: 1087, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 837, lumber: 1087, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 837, lumber: 1087, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 837, lumber: 1087, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 837, lumber: 1087, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 737, lumber: 887, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 537, lumber: 887, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 837, lumber: 1087, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 837, lumber: 1087, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
gold: 637, lumber: 987, oil: 637
gold: 637, lumber: 987, oil: 637
gold: 1337, lumber: 1337, oil: 1337
gold: 637, lumber: 987, oil: 637
gold: 637, lumber: 987, oil: 637
gold: 1337, lumber: 1337, oil: 1337
gold: 637, lumber: 987, oil: 637
gold: 637, lumber: 987, oil: 637
gold: 1337, lumber: 1337, oil: 1337
gold: 637, lumber: 987, oil: 637
gold: 637, lumber: 987, oil: 637
gold: 1337, lumber: 1337, oil: 1337
gold: 637, lumber: 987, oil: 637
gold: 1337, lumber: 1337, oil: 1337
gold: 637, lumber: 987, oil: 637
gold: 637, lumber: 987, oil: 637
gold: 1337, lumber: 1337, oil: 1337
gold: 637, lumber: 987, oil: 637
gold: 1337, lumber: 1337, oil: 1337
gold: 637, lumber: 987, oil: 637
gold: 637, lumber: 987, oil: 637
gold: 1337, lumber: 1337, oil: 1337
gold: 1337, lumber: 1337, oil: 1337
